Отметка времени;"1.	Какое из представленных высказываний о моде, на Ваш взгляд, её наиболее точно описывает?";"2.	Как Вы относитесь к моде?";"3.	В каких социальных группах, по Вашему мнению, сильнее всего проявляется приверженность моде?";"4.	По Вашему мнению,  в каких материальных вещах современной жизни проявляется мода?";"5.	Следите ли вы за модными тенденциями?";"6.	Придерживаетесь ли Вы какого-либо стиля в одежде? (не обязательно модного)";"7.	Считаете ли Вы себя модным человеком? ";"8.	Из каких источников Вы узнаете о модных тенденциях? (неограниченное число вариантов ответа)";"9.	На рынке часто появляются новые товары, услуги, которые потом становятся модными тенденциями или забываются. Как Вы относитесь к таким новинкам?";"10.	Можете ли Вы, взглянув на образ человека, сказать, модно ли он одет или же его одежда, на данный момент времени, вышла из моды? ";"11.	Существуют ли для Вас понятие вещей, вышедших из моды, которые Вы никогда бы не надели или не купили? ";"12.	Совершали ли Вы поступки из ниже представленного списка под воздействием моды?  [Смена имиджа]";"12.	Совершали ли Вы поступки из ниже представленного списка под воздействием моды?  [Просматривание страниц Интернет-магазинов, с целью поиска одежды и предметов обихода]";"12.	Совершали ли Вы поступки из ниже представленного списка под воздействием моды?  [Покупка одежды, предметов обихода или техники онлайн]";"12.	Совершали ли Вы поступки из ниже представленного списка под воздействием моды?  [Поход на шопинг в торговый центр]";"12.	Совершали ли Вы поступки из ниже представленного списка под воздействием моды?  [Покупка одежды, предметов обихода или техники в торговом центре]";"13.	Какими критериями вы руководствуетесь при выборе одежды? (неограниченное число вариантов ответа) ";"14.	Какими критериями вы руководствуетесь при выборе предметов обихода? (неограниченное число вариантов ответа) ";"15.	Важно ли Вам, в каком месте (или какого бренда) вы приобретаете одежду?";"16.	Важно ли Вам, в каком месте (или какого бренда) вы приобретаете предметы обихода? ";"17.	Где Вы обычно приобретаете одежду? (неограниченное число ответов) ";"18.	Где Вы обычно приобретаете предметы обихода? (неограниченное число ответов) ";"19.	Как часто Вы приобретаете одежду? ";"20.	Как часто Вы приобретаете и предметы обихода? ";"21.	Какими побуждениями Вы ЧАЩЕ ВСЕГО руководствуетесь при совершении покупок? ";"22.	Как Вы  считаете, в современных магазинах в торговых центрах (магазинах масс-маркета) продаются ТОЛЬКО лишь модные на данный момент (сезон, год) вещи? ";"23.	Как Вы  считаете, в современных люксовых или брендовых магазинах продаются ТОЛЬКО лишь модные на данный момент (сезон, год) вещи? ";"24.	Насколько сильно на Вас влияет общественное мнение, при выборе одежды? (например, а что скажут люди, если я куплю такую вещь?) ";"25.	За последний год, если проанализировать все ваши покупки и траты, каким было Ваше потребительское поведение?";"26.	Как Вы думаете, в какой степени мода определяет потребительское поведение современной МОЛОДЁЖИ? ";"27.	Как Вы думаете, в какой степени мода определяет потребительское поведение НАСЕЛЕНИЯ В ЦЕЛОМ? ";Выразите, пожалуйста, свою степень согласия с представленными утверждениями  [28. Мода, как явление, пронизывает все сферы жизни человека];Выразите, пожалуйста, свою степень согласия с представленными утверждениями  [29. Мода делает людей одинаковыми];Выразите, пожалуйста, свою степень согласия с представленными утверждениями  [30. Мне важно, чтобы моя одежда соответствовала модным тенденциям];Выразите, пожалуйста, свою степень согласия с представленными утверждениями  [31. Чем вещь дороже, тем она качественнее];Выразите, пожалуйста, свою степень согласия с представленными утверждениями  [32. Мне важно иметь преставления о моде, чтобы жить в  современном мире];Выразите, пожалуйста, свою степень согласия с представленными утверждениями  [33. Выбирая повседневную одежду, я стараюсь не отличаться от других];Выразите, пожалуйста, свою степень согласия с представленными утверждениями  [34. Магазины одежды (например, масс-маркет) навязывают обществу модные тенденции];Выразите, пожалуйста, свою степень согласия с представленными утверждениями  [35. Мода определяет предпочтения в покупках для современной молодёжи];Выразите, пожалуйста, свою степень согласия с представленными утверждениями  [36. Благодаря своему образу, я старюсь выделиться из толпы];Выразите, пожалуйста, свою степень согласия с представленными утверждениями  [37. Я стараюсь быть в курсе современных модных тенденций во всех сферах жизни общества];Выразите, пожалуйста, свою степень согласия с представленными утверждениями  [38. Мода является для меня пусть не самым важным критерием, но я обращаю внимание на то, модная ли вещь перед покупкой];"39.	Укажите, пожалуйста, уровень Вашего образования: ";"40.	Укажите, пожалуйста, Ваш возраст: ";"41.	Укажите, пожалуйста, Ваш род занятий:";"42.	Укажите, пожалуйста, Ваш уровень дохода в месяц: ";"43.	Укажите, пожалуйста, Ваш пол:"
3.28.2022 22:18:16;3. Мода – это совокупность привычек, ценностей и вкусов, принятых в определённой среде в определённое время.;2. Стараюсь не отставать от моды, чтобы соответствовать обществу, в котором я живу;1. Мода проявляется во всех социальных группах общества;1. Мода проявляется во всех материальных вещах, что нас окружают;3. Сознательно не слежу, но нахожусь в курсе модных тенденций;2. Комбинирую разные стили в зависимости от ситуации или настроения;3. Затрудняюсь ответить;2. Социальные сети (ВК, Instagram и т.д.), 3.  Мессенджеры (Telegram и т.д.), 4. Блогеры или блоги конкретных людей в Интернете, 5. Разговоры с друзьями, близкими людьми;2. Отношусь в целом положительно, иногда покупаю новые товары ради интереса;2.  Да, скорее всего, мое предположение будет верным;1. Да;Совершал(а);Совершал(а);Совершал(а);Совершал(а);Совершал(а);1. Комфорт, 2. Качество (ткани, пошива, материалов), 3. Соответствие модным (современным) тенденциям, 6. Скидка на вещь, 7. Личные предпочтения (любимый цвет, принт, прикольная надпись и т.д.), 8. Потребность именно в конкретной вещи (по случаю, по сезону и т.д.);1. Удобство в использовании, 2. Качество (материалов, комплектующих, деталей), 8. Известность и кредит доверия конкретной фирмы, 9. Потребность именно в конкретной вещи (техника пришла в негодность, заменяете её на новую и т.д.);3. Да, важно, но если только мой выбор зависит от того, какая именно эта вещь (например, приверженность только брендовым кроссовкам, а остальная одежда не имеет особенной важности);4. Да, важно, но если только мой выбор зависит от продолжительности пользования вещью;1. Магазины в торговых центрах (масс-маркет), 4. Крупные торговые Интернет – площадки (Озон, Wildberries), 5. Крупные торговые иностранные Интернет – площадки (SHEIN, AliExpress), 7. Пошив на заказ;4. Крупные торговые Интернет – площадки (Озон, Wildberries), 5. Крупные торговые иностранные Интернет – площадки (SHEIN, AliExpress);6. Не имею временных рамок, покупаю одежду, когда мне захочется;7. Не имею временных рамок, покупаю предметы обихода только по надобности;3. Я совершаю как рациональные, так и эмоциональные покупки, в зависимости от того, какая это вещь;3. Там можно найти как модные, так и не модные вещи;3. Там можно найти как модные, так и не модные вещи;2. Скорее влияет, чем не влияет;3. Скорее эмоциональным, чем рациональным;2. Скорее определяет, чем не определяет;3. Скорее не определяет, чем определяет;Полностью согласен;Скорее согласен;Скорее согласен;Совершенно не согласен;Скорее согласен;Скорее не согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Полностью согласен;2. Неоконченное высшее;1. 18-24;1. Студент;1. до 10 000 рублей;1. Женский
3.28.2022 22:25:06;3. Мода – это совокупность привычек, ценностей и вкусов, принятых в определённой среде в определённое время.;3. Сознательно за модой не слежу, но остаюсь в курсе современных модных тенденций;2. Мода проявляется только в субкультурных общественных группах, группах по интересам;2. Мода проявляется в современной одежде и аксессуарах, технике и технологиях;3. Сознательно не слежу, но нахожусь в курсе модных тенденций;1. Да, придерживаюсь;2. Нет;2. Социальные сети (ВК, Instagram и т.д.), 4. Блогеры или блоги конкретных людей в Интернете, 5. Разговоры с друзьями, близкими людьми;2. Отношусь в целом положительно, иногда покупаю новые товары ради интереса;2.  Да, скорее всего, мое предположение будет верным;1. Да;Совершал(а);Совершал(а);Совершал(а);Совершал(а);Совершал(а);1. Комфорт, 2. Качество (ткани, пошива, материалов), 5. Низкая стоимость, 6. Скидка на вещь, 7. Личные предпочтения (любимый цвет, принт, прикольная надпись и т.д.), 8. Потребность именно в конкретной вещи (по случаю, по сезону и т.д.), 9. Приверженность  и доверие определенному бренду;1. Удобство в использовании, 5. Низкая стоимость, 7. Личные предпочтения (любимый цвет, принт, и т.д.), 8. Известность и кредит доверия конкретной фирмы, 9. Потребность именно в конкретной вещи (техника пришла в негодность, заменяете её на новую и т.д.);3. Да, важно, но если только мой выбор зависит от того, какая именно эта вещь (например, приверженность только брендовым кроссовкам, а остальная одежда не имеет особенной важности);6. Нет, не важно;1. Магазины в торговых центрах (масс-маркет), 4. Крупные торговые Интернет – площадки (Озон, Wildberries), 5. Крупные торговые иностранные Интернет – площадки (SHEIN, AliExpress), 8. Рынок;1. Магазины в торговых центрах, отдельно стоящие по городу точки, 8. Рынок;7. Не имею временных рамок, покупаю одежду только по надобности;7. Не имею временных рамок, покупаю предметы обихода только по надобности;1. Я покупаю одежду и предметы обихода только рационально, оценивая её нужность мне в конкретный момент;3. Там можно найти как модные, так и не модные вещи;3. Там можно найти как модные, так и не модные вещи;4. Абсолютно не влияет;1. Полностью рациональным;3. Скорее не определяет, чем определяет;3. Скорее не определяет, чем определяет;Скорее не согласен;Полностью согласен;Скорее не согласен;Скорее согласен;Скорее не согласен;Скорее не согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее не согласен;Затрудняюсь ответить;1. Высшее;1. 18-24;1. Студент;1. до 10 000 рублей;1. Женский
3.28.2022 22:45:03;4. Мода – это некий тренд, который существует лишь на определенное время.;2. Стараюсь не отставать от моды, чтобы соответствовать обществу, в котором я живу;3. Мода проявляется только в молодежных группах;1. Мода проявляется во всех материальных вещах, что нас окружают;3. Сознательно не слежу, но нахожусь в курсе модных тенденций;2. Комбинирую разные стили в зависимости от ситуации или настроения;3. Затрудняюсь ответить;2. Социальные сети (ВК, Instagram и т.д.), 4. Блогеры или блоги конкретных людей в Интернете, 5. Разговоры с друзьями, близкими людьми;2. Отношусь в целом положительно, иногда покупаю новые товары ради интереса;2.  Да, скорее всего, мое предположение будет верным;1. Да;Не совершал(а);Совершал(а);Совершал(а);Совершал(а);Совершал(а);1. Комфорт, 3. Соответствие модным (современным) тенденциям, 7. Личные предпочтения (любимый цвет, принт, прикольная надпись и т.д.), 8. Потребность именно в конкретной вещи (по случаю, по сезону и т.д.);2. Качество (материалов, комплектующих, деталей), 8. Известность и кредит доверия конкретной фирмы, 9. Потребность именно в конкретной вещи (техника пришла в негодность, заменяете её на новую и т.д.);4. Да, важно, но если только мой выбор зависит от продолжительности пользования вещью;4. Да, важно, но если только мой выбор зависит от продолжительности пользования вещью;1. Магазины в торговых центрах (масс-маркет), 3. Интернет - магазины сетевых магазинов (Н&М, ZARA и т.д.), 5. Крупные торговые иностранные Интернет – площадки (SHEIN, AliExpress);1. Магазины в торговых центрах, отдельно стоящие по городу точки, 4. Крупные торговые Интернет – площадки (Озон, Wildberries), 6. На Интернет-сайтах отечественных или зарубежных брендов;3. Не реже одного раза в полгода;4. Не реже одного раза в год;3. Я совершаю как рациональные, так и эмоциональные покупки, в зависимости от того, какая это вещь;3. Там можно найти как модные, так и не модные вещи;3. Там можно найти как модные, так и не модные вещи;2. Скорее влияет, чем не влияет;2. Скорее рациональным,  чем эмоциональным;2. Скорее определяет, чем не определяет;2. Скорее определяет, чем не определяет;Полностью согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Затрудняюсь ответить;Скорее согласен;Скорее согласен;2. Неоконченное высшее;1. 18-24;1. Студент;2. от 11 000 до 20 000 рублей;1. Женский
3.28.2022 22:50:08;4. Мода – это некий тренд, который существует лишь на определенное время.;2. Стараюсь не отставать от моды, чтобы соответствовать обществу, в котором я живу;3. Мода проявляется только в молодежных группах;1. Мода проявляется во всех материальных вещах, что нас окружают;1. Да, слежу постоянно;2. Комбинирую разные стили в зависимости от ситуации или настроения;3. Затрудняюсь ответить;1. Сайты модных домов в Интернете, 2. Социальные сети (ВК, Instagram и т.д.), 4. Блогеры или блоги конкретных людей в Интернете;3. Безразлично отношусь к новинкам;1. Да, могу, я хорошо разбираюсь в модных тенденциях;1. Да;Не совершал(а);Совершал(а);Совершал(а);Совершал(а);Совершал(а);1. Комфорт, 2. Качество (ткани, пошива, материалов), 3. Соответствие модным (современным) тенденциям, 7. Личные предпочтения (любимый цвет, принт, прикольная надпись и т.д.), 8. Потребность именно в конкретной вещи (по случаю, по сезону и т.д.);7. Личные предпочтения (любимый цвет, принт, и т.д.), 9. Потребность именно в конкретной вещи (техника пришла в негодность, заменяете её на новую и т.д.);6. Нет, не важно;6. Нет, не важно;1. Магазины в торговых центрах (масс-маркет), 3. Интернет - магазины сетевых магазинов (Н&М, ZARA и т.д.), 4. Крупные торговые Интернет – площадки (Озон, Wildberries), 5. Крупные торговые иностранные Интернет – площадки (SHEIN, AliExpress), 6. На Интернет-сайтах локальных отечественных или зарубежных брендов (дизайнеров);1. Магазины в торговых центрах, отдельно стоящие по городу точки, 4. Крупные торговые Интернет – площадки (Озон, Wildberries);6. Не имею временных рамок, покупаю одежду, когда мне захочется;7. Не имею временных рамок, покупаю предметы обихода только по надобности;3. Я совершаю как рациональные, так и эмоциональные покупки, в зависимости от того, какая это вещь;3. Там можно найти как модные, так и не модные вещи;3. Там можно найти как модные, так и не модные вещи;4. Абсолютно не влияет;2. Скорее рациональным,  чем эмоциональным;2. Скорее определяет, чем не определяет;2. Скорее определяет, чем не определяет;Скорее согласен;Скорее согласен;Скорее согласен;Скорее не согласен;Полностью согласен;Затрудняюсь ответить;Скорее согласен;Полностью согласен;Скорее согласен;Скорее согласен;Скорее согласен;2. Неоконченное высшее;1. 18-24;1. Студент;2. от 11 000 до 20 000 рублей;1. Женский
3.28.2022 23:14:38;3. Мода – это совокупность привычек, ценностей и вкусов, принятых в определённой среде в определённое время.;4. Мне мода не важна и не интересна;1. Мода проявляется во всех социальных группах общества;1. Мода проявляется во всех материальных вещах, что нас окружают;4. Нет, никогда не слежу;3. Нет, не придерживаюсь;2. Нет;2. Социальные сети (ВК, Instagram и т.д.), 8. Не интересуюсь и не стараюсь узнать о модных тенденциях;2. Отношусь в целом положительно, иногда покупаю новые товары ради интереса;4.  Нет, не могу, я совершенно не разбираюсь в модных тенденциях;2. Нет;Не совершал(а);Совершал(а);Не совершал(а);Не совершал(а);Не совершал(а);1. Комфорт, 2. Качество (ткани, пошива, материалов), 7. Личные предпочтения (любимый цвет, принт, прикольная надпись и т.д.), 8. Потребность именно в конкретной вещи (по случаю, по сезону и т.д.);1. Удобство в использовании, 7. Личные предпочтения (любимый цвет, принт, и т.д.), 9. Потребность именно в конкретной вещи (техника пришла в негодность, заменяете её на новую и т.д.);6. Нет, не важно;3. Да, важно, но только в том случае, если мой выбор зависит от того, какая именно эта вещь (например, приверженность одной марке телефона или техники);1. Магазины в торговых центрах (масс-маркет), 3. Интернет - магазины сетевых магазинов (Н&М, ZARA и т.д.), 7. Пошив на заказ;1. Магазины в торговых центрах, отдельно стоящие по городу точки, 3. Интернет - магазины сетевых магазинов (ZARAHOME и т.д.), 4. Крупные торговые Интернет – площадки (Озон, Wildberries), 5. Крупные торговые иностранные Интернет – площадки (SHEIN, AliExpress);6. Не имею временных рамок, покупаю одежду, когда мне захочется;3. Не реже одного раза в полгода;3. Я совершаю как рациональные, так и эмоциональные покупки, в зависимости от того, какая это вещь;4. Затрудняюсь ответить;4. Затрудняюсь ответить;3. Скорее не влияет, чем влияет;2. Скорее рациональным,  чем эмоциональным;2. Скорее определяет, чем не определяет;1. Полностью определяет;Скорее согласен;Скорее согласен;Совершенно не согласен;Совершенно не согласен;Совершенно не согласен;Скорее не согласен;Совершенно не согласен;Скорее согласен;Совершенно не согласен;Совершенно не согласен;Скорее не согласен;1. Высшее;1. 18-24;1. Студент;2. от 11 000 до 20 000 рублей;2. Мужской
3.28.2022 23:21:42;3. Мода – это совокупность привычек, ценностей и вкусов, принятых в определённой среде в определённое время.;3. Сознательно за модой не слежу, но остаюсь в курсе современных модных тенденций;5. Мода проявляется в общественной жизни только привилегированных групп общества;1. Мода проявляется во всех материальных вещах, что нас окружают;3. Сознательно не слежу, но нахожусь в курсе модных тенденций;2. Комбинирую разные стили в зависимости от ситуации или настроения;1. Да;4. Блогеры или блоги конкретных людей в Интернете;2. Отношусь в целом положительно, иногда покупаю новые товары ради интереса;2.  Да, скорее всего, мое предположение будет верным;1. Да;Не совершал(а);Совершал(а);Совершал(а);Совершал(а);Совершал(а);1. Комфорт, 7. Личные предпочтения (любимый цвет, принт, прикольная надпись и т.д.), 8. Потребность именно в конкретной вещи (по случаю, по сезону и т.д.);1. Удобство в использовании, 7. Личные предпочтения (любимый цвет, принт, и т.д.), 8. Известность и кредит доверия конкретной фирмы, 9. Потребность именно в конкретной вещи (техника пришла в негодность, заменяете её на новую и т.д.);6. Нет, не важно;6. Нет, не важно;4. Крупные торговые Интернет – площадки (Озон, Wildberries);4. Крупные торговые Интернет – площадки (Озон, Wildberries);3. Не реже одного раза в полгода;3. Не реже одного раза в полгода;1. Я покупаю одежду и предметы обихода только рационально, оценивая её нужность мне в конкретный момент;3. Там можно найти как модные, так и не модные вещи;3. Там можно найти как модные, так и не модные вещи;3. Скорее не влияет, чем влияет;1. Полностью рациональным;2. Скорее определяет, чем не определяет;5. Затрудняюсь ответить;Полностью согласен;Скорее не согласен;Затрудняюсь ответить;Совершенно не согласен;Скорее согласен;Скорее согласен;Затрудняюсь ответить;Скорее согласен;Скорее не согласен;Затрудняюсь ответить;Скорее согласен;1. Высшее;1. 18-24;2. Работаете;4. от 31 000 до 40 000 рублей;1. Женский
3.28.2022 23:27:15;3. Мода – это совокупность привычек, ценностей и вкусов, принятых в определённой среде в определённое время.;3. Сознательно за модой не слежу, но остаюсь в курсе современных модных тенденций;1. Мода проявляется во всех социальных группах общества;1. Мода проявляется во всех материальных вещах, что нас окружают;3. Сознательно не слежу, но нахожусь в курсе модных тенденций;3. Нет, не придерживаюсь;2. Нет;2. Социальные сети (ВК, Instagram и т.д.), 5. Разговоры с друзьями, близкими людьми;2. Отношусь в целом положительно, иногда покупаю новые товары ради интереса;4.  Нет, не могу, я совершенно не разбираюсь в модных тенденциях;1. Да;Не совершал(а);Не совершал(а);Совершал(а);Не совершал(а);Не совершал(а);1. Комфорт, 2. Качество (ткани, пошива, материалов), 5. Низкая стоимость, 7. Личные предпочтения (любимый цвет, принт, прикольная надпись и т.д.), 8. Потребность именно в конкретной вещи (по случаю, по сезону и т.д.);1. Удобство в использовании, 2. Качество (материалов, комплектующих, деталей), 5. Низкая стоимость, 7. Личные предпочтения (любимый цвет, принт, и т.д.), 8. Известность и кредит доверия конкретной фирмы, 9. Потребность именно в конкретной вещи (техника пришла в негодность, заменяете её на новую и т.д.);6. Нет, не важно;6. Нет, не важно;1. Магазины в торговых центрах (масс-маркет), 4. Крупные торговые Интернет – площадки (Озон, Wildberries), 5. Крупные торговые иностранные Интернет – площадки (SHEIN, AliExpress), 7. Пошив на заказ;1. Магазины в торговых центрах, отдельно стоящие по городу точки, 4. Крупные торговые Интернет – площадки (Озон, Wildberries), 5. Крупные торговые иностранные Интернет – площадки (SHEIN, AliExpress);2. Не реже одного раза в месяц;2. Не реже одного раза в месяц;2. Я совершаю спонтанные покупки, если мне понравилась конкретная вещь, и не важно, нужна ли мне она в данный момент, я могу себе её позволить;2. Нет;2. Нет;3. Скорее не влияет, чем влияет;3. Скорее эмоциональным, чем рациональным;3. Скорее не определяет, чем определяет;3. Скорее не определяет, чем определяет;Полностью согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Полностью согласен;2. Неоконченное высшее;1. 18-24;1. Студент;3. от 21 000 до 30 000 рублей;1. Женский
3.28.2022 23:44:15;3. Мода – это совокупность привычек, ценностей и вкусов, принятых в определённой среде в определённое время.;3. Сознательно за модой не слежу, но остаюсь в курсе современных модных тенденций;5. Мода проявляется в общественной жизни только привилегированных групп общества;2. Мода проявляется в современной одежде и аксессуарах, технике и технологиях;2. Да, слежу, время от времени, но не на постоянной основе;2. Комбинирую разные стили в зависимости от ситуации или настроения;1. Да;2. Социальные сети (ВК, Instagram и т.д.), 3.  Мессенджеры (Telegram и т.д.), 4. Блогеры или блоги конкретных людей в Интернете, 5. Разговоры с друзьями, близкими людьми;2. Отношусь в целом положительно, иногда покупаю новые товары ради интереса;1. Да, могу, я хорошо разбираюсь в модных тенденциях;1. Да;Совершал(а);Совершал(а);Совершал(а);Совершал(а);Совершал(а);1. Комфорт, 2. Качество (ткани, пошива, материалов), 3. Соответствие модным (современным) тенденциям, 6. Скидка на вещь, 7. Личные предпочтения (любимый цвет, принт, прикольная надпись и т.д.), 8. Потребность именно в конкретной вещи (по случаю, по сезону и т.д.), 9. Приверженность  и доверие определенному бренду;2. Качество (материалов, комплектующих, деталей), 7. Личные предпочтения (любимый цвет, принт, и т.д.), 8. Известность и кредит доверия конкретной фирмы, 9. Потребность именно в конкретной вещи (техника пришла в негодность, заменяете её на новую и т.д.);3. Да, важно, но если только мой выбор зависит от того, какая именно эта вещь (например, приверженность только брендовым кроссовкам, а остальная одежда не имеет особенной важности);3. Да, важно, но только в том случае, если мой выбор зависит от того, какая именно эта вещь (например, приверженность одной марке телефона или техники);1. Магазины в торговых центрах (масс-маркет), 3. Интернет - магазины сетевых магазинов (Н&М, ZARA и т.д.), 4. Крупные торговые Интернет – площадки (Озон, Wildberries), 5. Крупные торговые иностранные Интернет – площадки (SHEIN, AliExpress);1. Магазины в торговых центрах, отдельно стоящие по городу точки, 4. Крупные торговые Интернет – площадки (Озон, Wildberries), 5. Крупные торговые иностранные Интернет – площадки (SHEIN, AliExpress);6. Не имею временных рамок, покупаю одежду, когда мне захочется;7. Не имею временных рамок, покупаю предметы обихода только по надобности;3. Я совершаю как рациональные, так и эмоциональные покупки, в зависимости от того, какая это вещь;1. Да;2. Нет;3. Скорее не влияет, чем влияет;3. Скорее эмоциональным, чем рациональным;2. Скорее определяет, чем не определяет;2. Скорее определяет, чем не определяет;Полностью согласен;Совершенно не согласен;Скорее согласен;Совершенно не согласен;Скорее согласен;Совершенно не согласен;Полностью согласен;Скорее согласен;Скорее не согласен;Скорее не согласен;Полностью согласен;2. Неоконченное высшее;1. 18-24;1. Студент;1. до 10 000 рублей;1. Женский
3.29.2022 8:26:25;4. Мода – это некий тренд, который существует лишь на определенное время.;4. Мне мода не важна и не интересна;4. Мода проявляется только в модном сообществе (дизайнеров, модельеров);2. Мода проявляется в современной одежде и аксессуарах, технике и технологиях;3. Сознательно не слежу, но нахожусь в курсе модных тенденций;3. Нет, не придерживаюсь;2. Нет;2. Социальные сети (ВК, Instagram и т.д.), 5. Разговоры с друзьями, близкими людьми, 6. Телевидение, 8. Не интересуюсь и не стараюсь узнать о модных тенденциях;3. Безразлично отношусь к новинкам;4.  Нет, не могу, я совершенно не разбираюсь в модных тенденциях;2. Нет;Совершал(а);Не совершал(а);Не совершал(а);Не совершал(а);Совершал(а);1. Комфорт, 2. Качество (ткани, пошива, материалов), 7. Личные предпочтения (любимый цвет, принт, прикольная надпись и т.д.), 8. Потребность именно в конкретной вещи (по случаю, по сезону и т.д.), 9. Приверженность  и доверие определенному бренду;2. Качество (материалов, комплектующих, деталей), 7. Личные предпочтения (любимый цвет, принт, и т.д.), 8. Известность и кредит доверия конкретной фирмы, 9. Потребность именно в конкретной вещи (техника пришла в негодность, заменяете её на новую и т.д.);3. Да, важно, но если только мой выбор зависит от того, какая именно эта вещь (например, приверженность только брендовым кроссовкам, а остальная одежда не имеет особенной важности);6. Нет, не важно;9. Затрудняюсь ответить;1. Магазины в торговых центрах, отдельно стоящие по городу точки, 7. Местные мастерские;3. Не реже одного раза в полгода;4. Не реже одного раза в год;3. Я совершаю как рациональные, так и эмоциональные покупки, в зависимости от того, какая это вещь;3. Там можно найти как модные, так и не модные вещи;1. Да;4. Абсолютно не влияет;2. Скорее рациональным,  чем эмоциональным;2. Скорее определяет, чем не определяет;2. Скорее определяет, чем не определяет;Скорее согласен;Затрудняюсь ответить;Скорее не согласен;Затрудняюсь ответить;Скорее не согласен;Затрудняюсь ответить;Скорее согласен;Скорее согласен;Затрудняюсь ответить;Совершенно не согласен;Скорее не согласен;2. Неоконченное высшее;1. 18-24;1. Студент;2. от 11 000 до 20 000 рублей;2. Мужской
